Application Number,Total Amount,Total Number,Application Received Date,Application Approved Date,Vehicle Category,Vehicle Model,Vehicle Make,Vehicle Year,Date of Purchase,Purchase or Lease?,Zip Code,County
M-009651,"$2,500",2500,7/8/18 10:56,8/6/18 11:03,PHEV+,Mitsubishi Outlander PHEV,Mitsubishi,2018,2018-06-30,Purchase,2176,Middlesex
M-009652,"$1,500",1500,7/8/18 11:26,7/31/18 11:52,PHEV,Toyota Prius Prime,Toyota,2018,2018-06-26,Purchase,1075,Hampshire
M-009653,"$1,500",1500,7/8/18 12:10,7/27/18 14:47,PHEV,BMW 530e xDrive iPerformance,BMW,2018,2018-05-31,Purchase,2421,Middlesex
M-009654,"$2,500",2500,7/8/18 12:20,8/2/18 10:53,BEV,Tesla Model 3,Tesla,2018,2018-06-22,Purchase,2116,Suffolk
M-009655,"$2,500",2500,7/8/18 13:28,8/6/18 12:55,BEV,Volkswagen e-Golf,Volkswagen,2017,2018-06-29,Purchase,1984,Essex
M-009656,"$2,500",2500,7/8/18 15:21,7/31/18 11:54,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-04-26,Purchase,2052,Norfolk
M-009659,"$2,500",2500,7/8/18 21:41,7/30/18 14:23,PHEV+,Honda Clarity PHEV,Honda,2018,2018-06-28,Purchase,2494,Norfolk
M-009660,"$2,500",2500,7/8/18 21:58,7/30/18 14:47,BEV,Tesla Model 3,Tesla,2018,2018-07-03,Purchase,1095,Hampden
M-009661,"$1,000",1000,7/9/18 0:52,7/31/18 14:03,PHEV,BMW X5 xDrive40e,BMW,2018,2018-06-26,Lease,1776,Middlesex
M-009662,"$2,500",2500,7/9/18 9:26,7/31/18 13:49,BEV,Tesla Model 3,Tesla,2018,2018-07-02,Purchase,2030,Norfolk
M-009663,"$2,500",2500,7/9/18 9:57,8/13/18 12:34,BEV,Chevrolet Bolt EV,Chevrolet,2017,2018-06-15,Lease,2184,Norfolk
M-009664,"$2,500",2500,7/9/18 10:17,8/8/18 16:06,BEV,Ford Focus Electric,Ford,2016,2018-07-07,Purchase,1030,Hampden
M-009665,"$2,500",2500,7/9/18 11:04,8/8/18 13:07,BEV,Tesla Model 3,Tesla,2018,2018-07-05,Purchase,1890,Middlesex
M-009666,"$1,500",1500,7/9/18 11:06,8/6/18 16:41,PHEV,Hyundai Ioniq Plug-in Hybrid,Hyundai,2018,2018-05-16,Purchase,2144,Middlesex
M-009667,"$2,500",2500,7/9/18 11:22,8/1/18 10:22,BEV,Tesla Model 3,Tesla,2018,2018-07-06,Purchase,2142,Middlesex
M-009668,"$2,500",2500,7/9/18 11:37,7/31/18 12:33,BEV,Tesla Model 3,Tesla,2018,2018-07-09,Purchase,2445,Norfolk
M-009669,"$2,500",2500,7/9/18 11:54,8/6/18 16:05,BEV,Nissan Leaf SV,Nissan,2018,2018-07-07,Purchase,1718,Middlesex
M-009670,"$2,500",2500,7/9/18 12:10,7/31/18 15:06,PHEV,BMW i3s REx,BMW,2018,2018-07-06,Lease,1569,Worcester
M-009671,"$2,500",2500,7/9/18 12:48,7/30/18 17:44,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-06-29,Lease,2176,Middlesex
M-009672,"$1,500",1500,7/9/18 13:20,8/6/18 16:05,PHEV,Kia Niro Plug-in Hybrid,Kia,2018,2018-06-30,Lease,2150,Suffolk
M-009673,"$1,500",1500,7/9/18 15:46,7/30/18 14:27,PHEV,Ford Fusion Energi,Ford,2018,2018-07-07,Lease,2478,Middlesex
M-009674,"$1,500",1500,7/9/18 17:52,7/30/18 14:46,PHEV,Toyota Prius Prime,Toyota,2017,2018-07-07,Purchase,1850,Middlesex
M-009675,"$2,500",2500,7/9/18 18:59,7/31/18 18:03,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-07-09,Lease,2144,Middlesex
M-009676,"$2,500",2500,7/9/18 19:10,7/31/18 12:38,PHEV+,Honda Clarity PHEV,Honda,2018,2018-06-30,Purchase,2563,Barnstable
M-009677,"$2,500",2500,7/9/18 20:02,7/31/18 18:01,BEV,Tesla Model 3,Tesla,2018,2018-06-13,Purchase,1773,Middlesex
M-009678,"$1,000",1000,7/9/18 20:10,7/30/18 17:42,PHEV,BMW X5 xDrive40e,BMW,2018,2018-07-08,Lease,2771,Bristol
M-009679,"$2,500",2500,7/9/18 21:17,8/8/18 12:55,BEV,Tesla Model 3,Tesla,2018,2018-06-15,Purchase,1106,Hampden
M-009680,"$1,000",1000,7/9/18 21:27,8/6/18 16:19,BEV,Tesla Model S 100 kWh,Tesla,2018,2018-07-03,Lease,1536,Worcester
M-009681,"$1,000",1000,7/9/18 22:34,8/8/18 11:44,BEV,Tesla Model X,Tesla,2018,2018-06-23,Purchase,2458,Middlesex
M-009682,"$2,500",2500,7/9/18 23:13,7/31/18 12:40,BEV,Tesla Model 3,Tesla,2018,2018-07-09,Purchase,2780,Bristol
M-009683,"$1,500",1500,7/9/18 23:57,7/30/18 14:38,PHEV,BMW 530e xDrive iPerformance,BMW,2018,2018-07-01,Lease,1944,Essex
M-009684,"$1,500",1500,7/10/18 7:44,7/30/18 14:19,PHEV,Toyota Prius Prime,Toyota,2017,2018-05-28,Purchase,1605,Worcester
M-009685,"$1,000",1000,7/10/18 8:52,7/31/18 17:16,BEV,Tesla Model X,Tesla,2018,2018-06-30,Purchase,1748,Middlesex
M-009686,"$2,500",2500,7/10/18 8:54,8/6/18 16:48,BEV,Nissan Leaf SV,Nissan,2018,2018-06-23,Purchase,1754,Middlesex
M-009687,"$2,500",2500,7/10/18 9:49,7/31/18 14:43,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-07-06,Lease,1096,Hampshire
M-009688,"$2,500",2500,7/10/18 10:36,7/31/18 13:09,PHEV+,Honda Clarity PHEV,Honda,2018,2018-06-30,Purchase,1056,Hampden
M-009689,"$2,500",2500,7/10/18 11:01,8/6/18 12:58,BEV,Tesla Model 3,Tesla,2018,2018-07-09,Purchase,1832,Essex
M-009691,"$2,500",2500,7/10/18 14:59,7/31/18 12:56,BEV,Tesla Model 3,Tesla,2018,2018-07-06,Purchase,2048,Bristol
M-009692,"$1,000",1000,7/10/18 15:42,8/6/18 16:15,PHEV,BMW X5 xDrive40e,BMW,2018,2018-07-02,Purchase,2762,Norfolk
M-009695,"$2,500",2500,7/10/18 19:17,7/30/18 17:21,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-07-09,Purchase,1880,Middlesex
M-009696,"$2,500",2500,7/10/18 19:56,7/31/18 17:49,PHEV+,Honda Clarity PHEV,Honda,2018,2018-02-16,Lease,1760,Middlesex
M-009697,"$2,500",2500,7/10/18 20:16,7/31/18 13:29,PHEV+,Mitsubishi Outlander PHEV,Mitsubishi,2018,2018-07-07,Purchase,1701,Middlesex
M-009698,"$1,000",1000,7/10/18 22:12,7/31/18 13:32,PHEV,Volvo XC60 T8,Volvo,2018,2018-07-10,Lease,2671,Barnstable
M-009699,"$2,500",2500,7/10/18 23:23,8/2/18 14:16,BEV,Tesla Model 3,Tesla,2018,2018-07-02,Purchase,1453,Worcester
M-009700,"$2,500",2500,7/10/18 23:28,7/31/18 13:35,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-05-29,Lease,1803,Middlesex
M-009702,"$1,500",1500,7/11/18 5:20,8/17/18 11:08,PHEV,Toyota Prius Prime,Toyota,2017,2018-04-28,Purchase,2127,Suffolk
M-009703,"$2,500",2500,7/11/18 8:07,8/6/18 19:17,BEV,Tesla Model 3,Tesla,2018,2018-07-08,Purchase,1970,Essex
M-009704,"$2,500",2500,7/11/18 8:46,7/31/18 17:42,BEV,Tesla Model 3,Tesla,2018,2018-07-10,Purchase,1701,Middlesex
M-009705,"$2,500",2500,7/11/18 10:05,8/8/18 12:04,PHEV+,Honda Clarity PHEV,Honda,2018,2018-05-30,Lease,1432,Middlesex
M-009706,"$2,500",2500,7/11/18 10:44,7/31/18 13:52,BEV,Tesla Model 3,Tesla,2018,2018-07-06,Purchase,2170,Norfolk
M-009707,"$1,000",1000,7/11/18 10:57,8/15/18 10:37,BEV,Tesla Model X,Tesla,2018,2018-06-29,Purchase,2090,Norfolk
M-009708,"$2,500",2500,7/11/18 12:26,8/2/18 10:51,PHEV+,Mitsubishi Outlander PHEV,Mitsubishi,2018,2018-06-28,Purchase,2764,Bristol
M-009709,"$1,000",1000,7/11/18 12:52,8/8/18 13:23,BEV,Tesla Model X,Tesla,2018,2018-07-09,Purchase,1776,Middlesex
M-009710,"$2,500",2500,7/11/18 14:55,7/31/18 14:05,BEV,Nissan Leaf SV,Nissan,2018,2018-06-30,Purchase,1002,Hampshire
M-009711,"$2,500",2500,7/11/18 15:06,7/30/18 17:18,PHEV+,Chrysler Pacifica,Chrysler,2018,2018-07-11,Purchase,2467,Norfolk
M-009712,"$2,500",2500,7/11/18 15:30,8/8/18 11:56,PHEV+,Honda Clarity PHEV,Honda,2018,2018-07-09,Lease,2474,Middlesex
M-009713,"$1,000",1000,7/11/18 16:04,8/6/18 12:39,BEV,Tesla Model X,Tesla,2018,2018-07-09,Purchase,2478,Middlesex
M-009714,"$2,500",2500,7/11/18 16:12,8/8/18 15:48,PHEV,BMW i3s REx,BMW,2018,2018-06-30,Purchase,2535,Dukes
M-009715,"$2,500",2500,7/11/18 16:17,8/24/18 16:45,BEV,Kia Soul EV,Kia,2018,2018-07-05,Lease,2738,Plymouth
M-009716,"$1,500",1500,7/11/18 17:02,7/30/18 17:24,PHEV,Toyota Prius Prime,Toyota,2017,2018-07-11,Purchase,2474,Middlesex
M-009717,"$1,000",1000,7/11/18 17:11,7/30/18 17:29,BEV,Tesla Model S 100 kWh,Tesla,2017,2018-07-09,Lease,1776,Middlesex
M-009719,"$2,500",2500,7/11/18 19:27,7/31/18 14:07,BEV,Tesla Model 3,Tesla,2018,2018-07-10,Purchase,1760,Middlesex
M-009720,"$2,500",2500,7/11/18 20:25,7/30/18 17:30,BEV,Tesla Model 3,Tesla,2018,2018-07-10,Purchase,2333,Plymouth
M-009721,"$1,000",1000,7/11/18 21:23,7/31/18 18:38,BEV,Tesla Model X,Tesla,2018,2018-04-20,Purchase,1746,Middlesex
M-009722,"$2,500",2500,7/11/18 22:12,8/10/18 11:49,BEV,Nissan Leaf SL,Nissan,2018,2018-05-12,Lease,1824,Middlesex
M-009723,"$2,500",2500,7/11/18 22:41,8/7/18 14:38,BEV,Tesla Model 3,Tesla,2018,2018-05-31,Purchase,1854,Middlesex
M-009724,"$2,500",2500,7/12/18 6:41,8/8/18 11:53,BEV,Tesla Model 3,Tesla,2018,2018-07-10,Purchase,2659,Barnstable
M-009725,"$2,500",2500,7/12/18 9:29,8/10/18 15:12,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-07-09,Lease,1033,Hampshire
M-009726,"$1,500",1500,7/12/18 10:29,8/6/18 16:25,PHEV,Ford Fusion Energi,Ford,2018,2018-07-11,Purchase,1562,Worcester
M-009727,"$1,500",1500,7/12/18 10:37,8/6/18 16:12,PHEV,Toyota Prius Prime,Toyota,2018,2018-07-06,Purchase,1720,Middlesex
M-009729,"$1,500",1500,7/12/18 11:33,8/17/18 11:12,PHEV,Toyota Prius Prime,Toyota,2018,2018-07-12,Purchase,1742,Middlesex
M-009730,"$2,500",2500,7/12/18 13:21,8/6/18 16:01,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-05-26,Lease,1571,Worcester
M-009731,"$1,500",1500,7/12/18 13:53,8/6/18 16:02,PHEV,Toyota Prius Prime,Toyota,2018,2018-07-09,Purchase,2536,Barnstable
M-009732,"$1,500",1500,7/12/18 14:02,8/6/18 16:18,PHEV,MINI Cooper SE Countryman ALL4,MINI,2019,2018-07-11,Purchase,1201,Berkshire
M-009733,"$2,500",2500,7/12/18 14:47,8/7/18 14:30,PHEV+,Honda Clarity PHEV,Honda,2018,2018-07-08,Purchase,2703,Bristol
M-009734,"$2,500",2500,7/12/18 14:52,8/6/18 16:03,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-06-04,Purchase,2492,Norfolk
M-009735,"$2,500",2500,7/12/18 15:31,8/6/18 16:08,BEV,Tesla Model 3,Tesla,2018,2018-07-07,Purchase,2332,Plymouth
M-009736,"$2,500",2500,7/12/18 20:20,8/15/18 10:44,BEV,Tesla Model 3,Tesla,2018,2018-07-12,Purchase,1887,Middlesex
M-009737,"$2,500",2500,7/12/18 20:50,8/13/18 13:18,BEV,Tesla Model 3,Tesla,2018,2018-07-11,Purchase,1742,Middlesex
M-009738,"$2,500",2500,7/12/18 22:06,8/6/18 16:38,BEV,Tesla Model 3,Tesla,2018,2018-07-12,Purchase,1915,Essex
M-009739,"$2,500",2500,7/12/18 22:07,8/6/18 16:03,BEV,Tesla Model 3,Tesla,2018,2018-07-12,Purchase,2067,Norfolk
M-009740,"$2,500",2500,7/12/18 23:18,8/6/18 16:04,BEV,Tesla Model 3,Tesla,2018,2018-07-11,Purchase,1940,Essex
M-009741,"$1,000",1000,7/12/18 23:50,8/6/18 16:04,BEV,Tesla Model X,Tesla,2018,2018-07-02,Lease,2703,Bristol
M-009742,"$2,500",2500,7/13/18 6:18,8/13/18 12:18,BEV,Tesla Model 3,Tesla,2018,2018-07-12,Purchase,2568,
M-009743,"$2,500",2500,7/13/18 10:17,8/6/18 16:05,BEV,Tesla Model 3,Tesla,2018,2018-06-30,Purchase,1845,Essex
M-009744,"$1,000",1000,7/13/18 10:18,8/8/18 11:58,PHEV,Volvo XC60 T8,Volvo,2018,2018-07-06,Purchase,1748,Middlesex
M-009745,"$2,500",2500,7/13/18 11:51,8/14/18 10:11,BEV,Tesla Model 3,Tesla,2018,2018-07-03,Purchase,2081,Norfolk
M-009746,"$2,500",2500,7/13/18 11:59,8/20/18 13:26,PHEV+,Mitsubishi Outlander PHEV,Mitsubishi,2018,2018-07-10,Lease,2721,Bristol
M-009747,"$2,500",2500,7/13/18 12:22,8/6/18 16:08,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-06-01,Purchase,1938,Essex
M-009748,"$2,500",2500,7/13/18 12:51,8/6/18 19:38,BEV,Tesla Model 3,Tesla,2018,2018-07-07,Purchase,2493,Middlesex
M-009749,"$2,500",2500,7/13/18 13:38,8/7/18 10:50,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-07-13,Lease,2138,Middlesex
M-009750,"$2,500",2500,7/13/18 15:00,8/8/18 11:49,PHEV+,Chrysler Pacifica,Chrysler,2018,2018-05-21,Purchase,1719,Middlesex
M-009752,"$2,500",2500,7/13/18 16:55,8/7/18 14:50,BEV,Tesla Model 3,Tesla,2018,2018-07-11,Purchase,2467,Middlesex
M-009753,"$2,500",2500,7/13/18 20:56,8/13/18 11:21,BEV,Tesla Model 3,Tesla,2018,2018-07-13,Purchase,2421,Middlesex
M-009754,"$2,500",2500,7/13/18 21:23,8/8/18 11:03,BEV,Tesla Model 3,Tesla,2018,2018-07-10,Purchase,1730,Middlesex
M-009755,"$2,500",2500,7/13/18 21:34,8/6/18 16:29,PHEV+,Honda Clarity PHEV,Honda,2018,2018-07-01,Purchase,1862,Middlesex
M-009756,"$2,500",2500,7/14/18 6:32,8/8/18 16:13,PHEV,BMW i3s REx,BMW,2018,2018-04-22,Lease,1741,Middlesex
M-009757,"$1,500",1500,7/14/18 6:35,8/6/18 16:06,PHEV,BMW 530e xDrive iPerformance,BMW,2018,2018-07-07,Purchase,1830,Essex
M-009758,"$1,500",1500,7/14/18 6:35,8/6/18 16:07,PHEV,Toyota Prius Prime,Toyota,2017,2018-06-30,Purchase,2476,Middlesex
M-009759,"$1,500",1500,7/14/18 7:21,8/6/18 16:09,PHEV,Hyundai Ioniq Plug-in Hybrid,Hyundai,2018,2018-06-25,Purchase,2138,Middlesex
M-009760,"$1,000",1000,7/14/18 9:06,8/6/18 16:07,BEV,Tesla Model S 100 kWh,Tesla,2018,2018-06-28,Purchase,1730,Middlesex
M-009761,"$1,000",1000,7/14/18 11:15,8/6/18 16:09,PHEV,Volvo XC60 T8,Volvo,2018,2018-06-20,Purchase,2493,Middlesex
M-009763,"$2,500",2500,7/14/18 12:40,8/6/18 16:10,BEV,Tesla Model 3,Tesla,2018,2018-07-13,Purchase,2467,Suffolk
M-009764,"$1,000",1000,7/14/18 13:22,8/20/18 10:36,BEV,Tesla Model S 100 kWh,Tesla,2018,2018-07-11,Purchase,2467,Norfolk
M-009765,"$2,500",2500,7/14/18 15:14,8/6/18 16:07,BEV,Tesla Model 3,Tesla,2018,2018-07-07,Purchase,2152,Suffolk
M-009766,"$2,500",2500,7/14/18 16:20,8/6/18 16:10,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-06-25,Purchase,1720,Middlesex
M-009767,"$2,500",2500,7/14/18 17:07,8/6/18 16:11,PHEV+,Chrysler Pacifica,Chrysler,2018,2018-07-12,Purchase,2478,Middlesex
M-009768,"$2,500",2500,7/14/18 17:58,8/8/18 10:48,BEV,Tesla Model 3,Tesla,2018,2018-06-29,Purchase,1985,Essex
M-009769,"$2,500",2500,7/14/18 20:05,8/6/18 16:49,BEV,Tesla Model 3,Tesla,2018,2018-07-12,Purchase,1801,Middlesex
M-009770,"$2,500",2500,7/14/18 21:18,8/6/18 16:11,PHEV+,Honda Clarity PHEV,Honda,2018,2018-06-30,Purchase,2464,Middlesex
M-009771,"$1,500",1500,7/14/18 23:01,8/13/18 11:52,PHEV,Toyota Prius Prime,Toyota,2017,2018-07-09,Purchase,2134,Suffolk
M-009772,"$1,500",1500,7/15/18 9:15,8/8/18 15:57,PHEV,Toyota Prius Prime,Toyota,2018,2018-06-28,Purchase,1095,Hampden
M-009773,"$2,500",2500,7/15/18 10:42,8/6/18 16:11,PHEV+,Honda Clarity PHEV,Honda,2018,2018-07-08,Purchase,1545,Worcester
M-009774,"$2,500",2500,7/15/18 10:44,8/8/18 15:44,PHEV+,Chrysler Pacifica,Chrysler,2018,2018-06-09,Purchase,1568,Worcester
M-009775,"$2,500",2500,7/15/18 11:17,8/6/18 16:12,PHEV+,Chrysler Pacifica,Chrysler,2018,2018-06-30,Purchase,2738,Plymouth
M-009776,"$1,000",1000,7/15/18 13:13,8/7/18 14:01,BEV,Tesla Model S 100 kWh,Tesla,2018,2018-07-09,Lease,1002,Hampshire
M-009778,"$2,500",2500,7/15/18 14:03,8/8/18 13:10,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-04-28,Lease,2446,Norfolk
M-009779,"$2,500",2500,7/15/18 14:05,8/10/18 14:29,BEV,Tesla Model 3,Tesla,2018,2018-07-13,Purchase,2356,Bristol
M-009780,"$1,500",1500,7/15/18 14:55,8/6/18 16:13,PHEV,Toyota Prius Prime,Toyota,2017,2018-06-02,Purchase,2035,Norfolk
M-009781,"$2,500",2500,7/15/18 15:40,8/6/18 16:13,PHEV+,Honda Clarity PHEV,Honda,2018,2018-07-09,Purchase,2481,Norfolk
M-009782,"$1,000",1000,7/15/18 20:38,8/6/18 16:13,BEV,Tesla Model X,Tesla,2018,2018-06-28,Lease,2493,Middlesex
M-009783,"$2,500",2500,7/15/18 20:48,8/6/18 16:13,BEV,Tesla Model 3,Tesla,2018,2018-07-06,Purchase,2493,Middlesex
M-009784,"$2,500",2500,7/15/18 21:14,8/6/18 16:14,BEV,Tesla Model 3,Tesla,2018,2018-07-14,Purchase,2472,Middlesex
M-009785,"$1,000",1000,7/15/18 23:44,8/6/18 16:14,BEV,Tesla Model S - 75 kWh,Tesla,2018,2018-06-26,Lease,1845,Essex
M-009787,"$2,500",2500,7/16/18 8:19,8/8/18 12:13,BEV,Tesla Model 3,Tesla,2018,2018-07-14,Purchase,1938,Essex
M-009788,"$2,500",2500,7/16/18 9:40,8/8/18 12:50,BEV,Tesla Model 3,Tesla,2018,2018-06-29,Purchase,2493,Middlesex
M-009789,"$2,500",2500,7/16/18 9:41,8/6/18 16:15,BEV,Tesla Model 3,Tesla,2018,2018-07-11,Purchase,2130,Suffolk
M-009790,"$2,500",2500,7/16/18 10:43,8/13/18 12:27,PHEV+,Mitsubishi Outlander PHEV,Mitsubishi,2018,2018-07-13,Purchase,2359,Plymouth
M-009791,"$2,500",2500,7/16/18 11:21,8/10/18 12:28,BEV,Tesla Model 3,Tesla,2018,2018-07-16,Purchase,2026,Norfolk
M-009792,"$2,500",2500,7/16/18 11:32,8/6/18 16:16,PHEV+,Chrysler Pacifica,Chrysler,2018,2018-07-11,Purchase,2122,Suffolk
M-009793,"$2,500",2500,7/16/18 12:19,8/21/18 11:41,PHEV+,Honda Clarity PHEV,Honda,2018,2018-05-29,Lease,2651,
M-009794,"$2,500",2500,7/16/18 12:29,8/6/18 17:16,PHEV+,Chrysler Pacifica,Chrysler,2018,2018-06-16,Purchase,2144,Middlesex
M-009795,"$2,500",2500,7/16/18 12:39,8/6/18 16:24,BEV,Tesla Model 3,Tesla,2018,2018-07-14,Purchase,2474,Middlesex
M-009796,"$2,500",2500,7/16/18 12:57,8/8/18 16:09,BEV,Tesla Model 3,Tesla,2018,2018-07-13,Purchase,2127,Suffolk
M-009797,"$2,500",2500,7/16/18 13:18,8/13/18 12:32,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-05-26,Purchase,2631,Barnstable
M-009798,"$2,500",2500,7/16/18 13:22,8/8/18 13:04,BEV,Tesla Model 3,Tesla,2018,2018-07-16,Purchase,1007,Hampshire
M-009800,"$2,500",2500,7/16/18 13:34,8/8/18 18:59,PHEV+,Honda Clarity PHEV,Honda,2018,2018-06-27,Purchase,1702,Middlesex
M-009801,"$2,500",2500,7/16/18 13:39,8/10/18 14:28,PHEV+,Chrysler Pacifica,Chrysler,2018,2018-07-16,Purchase,1951,Essex
M-009802,"$2,500",2500,7/16/18 14:18,8/10/18 16:20,BEV,Smart Electric Fortwo Coupe,Smart,2018,2018-01-03,Lease,2139,Middlesex
M-009803,"$2,500",2500,7/16/18 15:33,8/6/18 16:26,PHEV+,Chevrolet Volt,Chevrolet,2017,2018-06-29,Purchase,1760,Middlesex
M-009804,"$1,500",1500,7/16/18 16:52,8/6/18 16:43,PHEV,Toyota Prius Prime,Toyota,2017,2018-06-16,Purchase,1720,Middlesex
M-009805,"$1,500",1500,7/16/18 17:02,8/6/18 16:45,PHEV,Toyota Prius Prime,Toyota,2017,2018-07-07,Purchase,1844,Essex
M-009807,"$2,500",2500,7/16/18 18:19,8/8/18 10:52,BEV,Tesla Model 3,Tesla,2018,2018-07-16,Purchase,1731,Middlesex
M-009808,"$2,500",2500,7/16/18 18:50,8/6/18 17:01,PHEV+,Mitsubishi Outlander PHEV,Mitsubishi,2018,2018-07-13,Lease,2538,Plymouth
M-009809,"$1,500",1500,7/16/18 20:26,8/6/18 17:01,PHEV,Hyundai Ioniq Plug-in Hybrid,Hyundai,2018,2018-05-28,Purchase,2478,Middlesex
M-009810,"$2,500",2500,7/16/18 20:54,8/8/18 11:08,BEV,Tesla Model 3,Tesla,2018,2018-07-12,Purchase,2053,Norfolk
M-009811,"$2,500",2500,7/16/18 21:37,8/13/18 10:14,BEV,Tesla Model 3,Tesla,2018,2018-07-16,Purchase,1966,Essex
M-009812,"$1,500",1500,7/16/18 23:08,8/8/18 15:46,PHEV,Toyota Prius Prime,Toyota,2018,2018-07-11,Purchase,1748,Middlesex
M-009813,"$2,500",2500,7/17/18 8:17,8/6/18 16:50,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-07-11,Lease,1862,Middlesex
M-009814,"$1,500",1500,7/17/18 9:11,8/22/18 11:09,PHEV,Kia Niro Plug-in Hybrid,Kia,2018,2018-05-29,Lease,2169,Norfolk
M-009815,"$2,500",2500,7/17/18 9:31,8/8/18 12:52,BEV,Tesla Model 3,Tesla,2018,2018-07-14,Purchase,1760,Middlesex
M-009816,"$2,500",2500,7/17/18 9:44,8/7/18 11:41,BEV,Tesla Model 3,Tesla,2018,2018-07-17,Purchase,1719,Middlesex
M-009817,"$2,500",2500,7/17/18 9:57,8/6/18 17:05,PHEV+,Mitsubishi Outlander PHEV,Mitsubishi,2018,2018-06-18,Lease,1887,Middlesex
M-009818,"$2,500",2500,7/17/18 11:01,8/8/18 15:44,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-07-15,Lease,2478,Middlesex
M-009819,"$2,500",2500,7/17/18 12:02,8/6/18 17:05,PHEV+,Mitsubishi Outlander PHEV,Mitsubishi,2018,2018-07-05,Purchase,2138,Middlesex
M-009820,"$2,500",2500,7/17/18 14:03,8/6/18 17:18,BEV,Tesla Model 3,Tesla,2018,2018-07-17,Purchase,2461,Middlesex
M-009821,"$2,500",2500,7/17/18 14:06,8/7/18 13:41,BEV,Tesla Model 3,Tesla,2018,2018-07-16,Purchase,1821,Middlesex
M-009822,"$2,500",2500,7/17/18 14:25,8/13/18 13:10,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-05-28,Lease,2446,Norfolk
M-009823,"$2,500",2500,7/17/18 14:38,8/8/18 15:40,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-07-12,Purchase,1029,
M-009824,"$1,500",1500,7/17/18 16:10,8/6/18 17:14,PHEV,Toyota Prius Prime,Toyota,2017,2018-06-10,Purchase,2465,Middlesex
M-009825,"$1,500",1500,7/17/18 16:35,8/6/18 17:14,PHEV,BMW 530e xDrive iPerformance,BMW,2018,2018-07-13,Purchase,2038,Norfolk
M-009826,"$2,500",2500,7/17/18 17:39,8/6/18 17:16,BEV,Tesla Model 3,Tesla,2018,2018-07-16,Purchase,1844,Essex
M-009827,"$2,500",2500,7/17/18 17:50,8/8/18 16:00,BEV,Tesla Model 3,Tesla,2018,2018-07-17,Purchase,2132,Suffolk
M-009828,$750,750,7/17/18 18:06,8/13/18 14:31,ZEM,Zero SR,Zero,2017,2018-06-27,Purchase,2135,Suffolk
M-009829,"$2,500",2500,7/17/18 18:51,8/8/18 15:41,BEV,Tesla Model 3,Tesla,2018,2018-07-17,Purchase,1748,Middlesex
M-009830,"$1,000",1000,7/17/18 19:31,8/9/18 18:55,BEV,Tesla Model S 100 kWh,Tesla,2018,2018-07-03,Purchase,2478,Middlesex
M-009831,"$2,500",2500,7/17/18 19:41,8/6/18 17:14,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-07-15,Purchase,2136,Suffolk
M-009832,"$2,500",2500,7/17/18 19:41,8/9/18 18:24,BEV,Chevrolet Bolt EV,Chevrolet,2018,2018-07-10,Purchase,1778,Middlesex
M-009833,"$2,500",2500,7/17/18 21:00,8/6/18 17:15,PHEV+,Chrysler Pacifica,Chrysler,2018,2018-07-14,Purchase,2420,Middlesex
M-009834,"$2,500",2500,7/17/18 21:40,8/6/18 17:15,BEV,Smart Electric Fortwo Coupe,Smart,2018,2018-07-17,Lease,2478,Middlesex
M-009836,"$1,500",1500,7/17/18 22:02,8/8/18 19:01,PHEV,BMW 530e xDrive iPerformance,BMW,2018,2018-06-27,Lease,1985,Essex
M-009837,"$1,500",1500,7/17/18 22:12,8/9/18 16:52,PHEV,Hyundai Ioniq Plug-in Hybrid,Hyundai,2018,2018-07-01,Purchase,1867,Middlesex
M-009838,"$1,000",1000,7/17/18 22:12,8/6/18 17:16,BEV,Tesla Model X,Tesla,2018,2018-06-22,Purchase,1028,Hampden
M-009839,"$2,500",2500,7/18/18 10:18,8/6/18 17:16,BEV,Tesla Model 3,Tesla,2018,2018-07-16,Purchase,2659,Barnstable
M-009841,"$1,500",1500,7/18/18 11:54,8/8/18 15:42,PHEV,Toyota Prius Prime,Toyota,2017,2018-07-13,Purchase,2472,Middlesex
M-009842,"$2,500",2500,7/18/18 13:27,8/6/18 17:18,BEV,Tesla Model 3,Tesla,2018,2018-07-18,Purchase,1886,Middlesex
M-009843,"$2,500",2500,7/18/18 13:49,8/6/18 17:18,BEV,Nissan Leaf SV,Nissan,2018,2018-06-25,Purchase,2026,Norfolk
